video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7310928575597710598,2023-12-10T06:36:49,218.0,GH,,45600.0,119.0,635.0,341000.0,Kofi captain in trouble😂@Time  @koofi @Kcreietin #KofiMaame #Kofibabone #Koofi #trend #viraltiktokvideo #viral #goviral #kofineama #trendingtiktok ,False,,kooficaptain24,koofi captain,,,,,,False
7310966344160234758,2023-12-10T09:03:23,98.0,US,,71900.0,236.0,1782.0,596800.0,My birthday gift from me to yall has successfully arrived good vibes out now#fypシ゚viral #foryoupage #musicvideo #goviral #viralvideo ,False,,officialbig_jiggy,BIG JIGGY,,,,,,False
7309227659987356960,2023-12-05T16:36:26,157.0,IT,,62500.0,381.0,311.0,1400000.0,"Poor sia 😭she is wearing her, her own dress instead of her school uniform 🥹🥹this movie is very interesting educating and also emotional #itzwendysmith ",False,,itzwendysmith,Itz Wendy Smith,,,,,,False
7307263054050282758,2023-11-30T09:32:43,99.0,GH,,44600.0,51.0,101.0,345600.0,#kofiquan #kofiquanmusic #quanmusic #trend #fyp ,False,,kofiquanmusic,Kofi Quan Music,,,,,,False
7303939722198502688,2023-11-21T10:36:34,15.0,IT,,1418.0,9.0,1.0,2800000.0,Miu Miu Holiday.  #MiuMiuHoliday ,True,,miumiu,Miu Miu,,,,,,True
7309976432342519083,2023-12-07T17:02:07,127.0,US,,33800.0,58.0,296.0,540600.0,This is also more about the perception of these procedures in different cities #botoxinjection #filler #bobbialthoff #influencerculture ,False,,amandaagy,Amanda Foriwaa,,,,,,False
7310998405738695941,2023-12-10T11:07:48,8.0,NG,,2805.0,39.0,45.0,100900.0,Replying to @iyanuoluwatoria  Tania also told her laura was pregnant #therealhousewivesoflagos🥰 ,False,,mizpetty,Favour Amanze,,,,,,False
7309663459401010463,2023-12-06T20:47:40,60.0,US,,12500.0,123.0,84.0,109800.0,Dreezy did her big one wit this song! It was played everywhere #dreezy #dreezybody #jaydanotpinkettsmith #bigjayda❤️‍🔥 #blackfyp #blacktiktok #2010sthrowback #chicagotiktok #rnbthrowbacks #rnbtiktok ,False,,jaydanotpinkettsmith,BIG JAYDA,,,,,,False
7310323363350629638,2023-12-08T15:28:17,14.0,NG,,38000.0,1441.0,2138.0,252000.0,Why are you using the same mouth to say you love him 😒😒 #goviral #trending #iamdemide ,False,,iamdemide,Red Robe guy🚩❤️(red ashewo),,,,,,False
7305866698165390597,2023-11-26T15:14:10,5.0,GH,,18400.0,392.0,728.0,94900.0,Amammere🇬🇭,False,,randy_laryea,Randy,,,,,,False
7260569852421721345,2023-07-27T14:39:16,9.0,,,1725.0,44.0,16.0,10400000.0,"Experience 24-hour moisture for thick, coarse hair with Joico's Moisture Recovery Collection.",True,,joico,joico,,,,,,False
7311025002852158762,2023-12-10T12:51:10,13.0,US,,1.0,0.0,1.0,782.0,,False,,lillian.martin6,Lillian Martin,,,,,,False
7309848014858800417,2023-12-07T08:43:44,15.0,GH,,29800.0,427.0,308.0,255600.0,#alwaysprescious #tiktokghana🇬🇭 ,False,,alwaysprescious,Prescious,,,,,,False
7305837820822719777,2023-11-26T13:22:07,11.0,GB,,316600.0,981.0,587.0,1400000.0,"Paris mi inside ouí, ouí🥖 #fyp ",False,,anisafarah_,BADMAN LISA🏁,,,,,,False
7308104997219175713,2023-12-02T15:59:55,94.0,CI,,138200.0,3227.0,6146.0,2100000.0,@Grace Moya💞 @Ismo et Grâce @Comédie + @Rap ivoire 🐐 @TikTok ,False,,charo2babi,charo2babi,,,,,,False
7310221576576748818,2023-12-08T08:53:18,60.0,KR,"Korea, racism in korea, south korea, Korean Culture, korean southeast asian, korean racist issue, Life In Korea, Hongdae Seoul South Korea, Korea Travel, korean racist to filipino",57000.0,199.0,1448.0,815600.0,Discrimination In Korea Against Foreigners,False,,k.explorer,K Explorer,,,,,,False
7308449357903203589,2023-12-03T14:16:10,50.0,NG,,20100.0,1158.0,517.0,380600.0,#fypシ゚viral #fyp #flavour big baller in town #fyppppppppppppppppppppppp #viraltiktoker #tiktok_india #birthdayparty ,False,,chykimberly,Chy Kimberly,,,,,,False
7294273731747302661,2023-10-26T10:27:30,59.0,NG,,21400.0,120.0,287.0,121800.0,I don come again😌😂✨#jhaycen #rema ,False,,_jhaycen_,➹𝓘𝙂: ➺ @_𝘫𝘩𝘢𝘺𝘤𝘦𝘯_ ❥,,,,,,False
7294691225855118624,2023-10-27T13:27:37,69.0,GB,"tems, tems songs, tems and ayra starr went to pool together, tyla interview, tems me and you, tems body, tems and ayra starr, tems free mind, tems and tyla, Tyla Water",215200.0,541.0,862.0,1800000.0,"Brb, crying 🥹🫶💗 #kissfresh #tems #temsbaby #tyla #tylawater #womenempowerment #nigerian #southafrica ",False,,kissfresh,KISSFRESH,,,,,,False
