video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7288768981224131846,2023-10-11T14:26:16,0.0,NG,,16.0,0.0,2.0,473.0,,False,,hittrack_,𝓗𝓲𝓽𝓣𝓻𝓪𝓬𝓴,,,,,,False
7291554578569366789,2023-10-19T02:35:49,0.0,NG,,11.0,0.0,1.0,485.0,#wizkid #foryoupage #fyp #viral #tiktoknigeria🇳🇬 ,False,,hittrack_,𝓗𝓲𝓽𝓣𝓻𝓪𝓬𝓴,,,,,,False
7299705987886222597,2023-11-10T00:47:26,0.0,NG,,49.0,0.0,3.0,1018.0,#fypシ゚viral #fypシ #viral #songoftheday #whatareyoulisteningto #goviral ,False,,hittrack_,𝓗𝓲𝓽𝓣𝓻𝓪𝓬𝓴,,,,,,False
7304360553923841322,2023-11-22T13:49:46,30.0,US,,581.0,6.0,3.0,768600.0,"🌟Walmart Black Friday Exclusive: Platinum Series 7-Piece Complete Car Wash Kit 🚗✨ Our NEW Platinum Series 7-Piece Complete Car Wash Kit is the ultimate holiday gift for car enthusiasts. Find it at Walmart for just $19.97! 🎁🛒 Shop now: https://shorturl.at/qKSXZ 🌟 What's Inside: 1️⃣ Extendable Dip 'n Wash Mop (46 INCH) 2️⃣ Twisted Terry Drying Towel - 1000GSM 3️⃣ Final Finish Towel 4️⃣ Glass Towel 5️⃣ Multi-Use Detail Towel 6️⃣ Interior Detailing Brush 7️⃣ Wheel Brush ✨ Key Features: 🔹 Extendable Mop for conquering hard-to-reach areas 🔹 Premium, super-absorbent towels for a spotless shine 🔹 Detailing brush to navigate every nook and cranny 🔹 Dedicated wheel brush for a clean finish 🚨 Don't miss out on this exclusive Black Friday product! Elevate your car's appearance to perfection. Visit your nearest Walmart or shop online today! 🚗✨🎄 #CarWashKit #WalmartFinds #CarCare #CleanCar #AutoDetailing #blackfridaysale ",True,,platinumseriesauto,Platinum Series,,,,,,False
7118810866732092677,2022-07-10T14:21:59,14.0,NG,,26300.0,663.0,40.0,302500.0,Burna Boy - Pree Me (Lyrics) #lyricsafrica #naijalyrics #afrobeats #fyp #foryoupage #viral #foryou #xyzcba #music #tiktoknigeria #tiktokafrica,False,,lyricsafrica,LYRICS AFRICA,,,,,,False
7303911831259712774,2023-11-21T08:48:16,31.0,GH,,2522.0,79.0,9.0,34600.0,I will take you round the world ❤️🫂 #love #lovesong #lonely #heartbroken #song #tactesmhanlyrics #musiclyricsvideos #fypシ #viral #lyricssong ,False,,tactesmhanlyrics,Tactes_Mhan_lyrics,,,,,,False
7285363199778589998,2023-10-02T10:10:31,39.0,US,,808.0,2.0,32.0,8649.0,The way the nigerian gurls were shaking nyash to it made me like it more ! God is good all the time❤️🤞🏾 #saucelord #fypシ #viraltiktok #ghanatiktok🇬🇭 #ghanatiktokers🇬🇭🇬🇭🇬🇭 #joyceblessing #ghanamusic🇬🇭🇬🇭🇬🇭🇬🇭❤️ #nigeriaindependence #viral ,False,,saucelord01,SauceLord,,,,,,False
7291332008670743850,2023-10-18T12:12:15,15.0,US,,3281.0,17.0,318.0,32700.0,#saucelord #fyp #ghanamusic🇬🇭🇬🇭🇬🇭🇬🇭❤️ #viral #ghanatiktokers🇬🇭🇬🇭🇬🇭 #ghanatiktok🇬🇭 #viraltiktok #fypシ #abena #kwame ,False,,saucelord01,SauceLord,,,,,,False
7296875629650201886,2023-11-02T10:44:17,13.0,US,,1306.0,6.0,54.0,11100.0,Nemim tantan is crazyy🤣🤣 #saucelord #ghanatiktok🇬🇭 #ghanatiktokers🇬🇭🇬🇭🇬🇭 #ghanafuodotcom #ghanatiktok #ghanaian #nigeriatiktok #jokes ,False,,saucelord01,SauceLord,,,,,,False
7303534393165892865,2023-11-20T08:23:39,6.0,SG,,304300.0,1049.0,285.0,3600000.0,That uno reverse though 🤡 #wedding #weddingtok #couplecomedy #couple #fyp #weddingtiktok #weddingcomedy ,False,,winnie.tia,Winnietia,,,,,,False
7302705927600229663,2023-11-18T02:49:10,27.0,US,,65000.0,80.0,309.0,1600000.0,#stitch with @caggiebaby yours are gorge but also press-ons are it and they are reusable!! #pressonnails #athomemanicure ,False,,che.march,ché,,,,,,False
